Date,Closing_price
2012/10/22,12.74
2012/10/23,12.76
2012/10/24,12.79
2012/10/25,13.13
2012/10/26,12.97
2012/10/29,12.91
2012/10/30,13.03
2012/10/31,13.05
2012/11/01,13
2012/11/02,13
2012/11/05,13.03
2012/11/06,13
2012/11/07,12.95
2012/11/08,12.89
2012/11/09,12.91
2012/11/12,12.89
2012/11/13,12.7
2012/11/14,12.71
2012/11/15,12.56
2012/11/16,12.55
2012/11/19,12.7
2012/11/20,12.94
2012/11/21,12.86
2012/11/22,12.84
2012/11/23,12.86
2012/11/26,12.51
2012/11/27,12.34
2012/11/28,12.32
2012/11/29,12.49
2012/11/30,12.5
2012/12/03,12.48
2012/12/04,12.31
2012/12/05,12.17
2012/12/07,12.37
2012/12/10,12.21
2012/12/11,12.38
2012/12/12,12.37
2012/12/13,12.16
2012/12/14,12.19
2012/12/17,12.2
2012/12/18,12.21
2012/12/19,12.44
2012/12/20,12.45
2012/12/21,12.52
2012/12/27,12.29
2012/12/28,12.27
2013/01/02,12.58
2013/01/03,12.68
2013/01/04,12.76
2013/01/07,12.94
2013/01/08,12.81
2013/01/09,12.83
2013/01/10,12.76
2013/01/11,12.63
2013/01/14,12.41
2013/01/15,12.48
2013/01/16,12.66
2013/01/17,12.76
2013/01/18,12.99
2013/01/21,13.1
2013/01/22,13.19
2013/01/23,13.29
2013/01/24,13.38
2013/01/25,13.52
2013/01/28,13.56
2013/01/29,13.36
2013/01/30,13.13
2013/01/31,13.38
2013/02/01,13.4
2013/02/04,13.47
2013/02/05,13.43
2013/02/06,13.38
2013/02/07,13.24
2013/02/08,13.56
2013/02/11,13.44
2013/02/12,13.69
2013/02/13,14.03
2013/02/14,14.32
2013/02/15,14.56
2013/02/18,14.53
2013/02/19,14.81
2013/02/20,14.8
