EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1368192600,49.05,49.05,49.05,49.05,100
1,49.05,49.23,49.03,49.07,319260
2,49.045,49.12,49,49.06,38748
3,49.0701,49.18,49.045,49.05,53237
4,49.06,49.11,49.025,49.08,58857
5,48.94,49.055,48.93,49.05,81764
6,49,49.01,48.93,48.93,71789
7,48.9701,49.01,48.96,49,88668
8,48.932,48.98,48.93,48.97,43317
9,48.92,48.97,48.9,48.95,74303
10,48.94,48.98,48.915,48.915,47372
11,48.92,48.94,48.9,48.94,59621
12,48.85,48.93,48.84,48.925,102422
13,48.89,48.9222,48.865,48.865,45577
14,48.85,48.899,48.85,48.885,60785
15,48.96,48.96,48.84,48.85,38715
16,48.96,48.995,48.9416,48.951,81879
17,48.995,49.0025,48.965,48.97,117826
18,48.99,49.015,48.94,48.99,118223
19,48.96,49,48.95,49,24474
20,48.935,48.99,48.93,48.97,41226
21,48.905,48.94,48.9,48.935,58480
22,48.89,48.95,48.89,48.91,50181
23,48.86,48.8952,48.86,48.895,42782
24,48.93,48.95,48.86,48.86,42105
25,48.94,48.94,48.92,48.9257,20873
26,48.979,48.98,48.93,48.9301,38754
27,48.99,49,48.972,48.972,47811
28,48.999,49.01,48.98,48.99,120959
29,48.9957,49.01,48.96,48.999,92821
30,49.04,49.04,48.99,49,181274
31,49.0401,49.1,49.02,49.04,151504
32,49.03,49.04,49.0013,49.04,71898
33,48.98,49.04,48.97,49.04,53602
34,48.98,49.01,48.962,48.981,41176
35,48.97,48.985,48.97,48.98,12072
36,49.0188,49.02,48.975,48.98,28732
37,49.005,49.03,48.985,49.02,42966
38,48.95,49.03,48.945,49.01,50329
39,48.95,48.985,48.94,48.95,38475
40,48.96,48.97,48.91,48.94,80503
41,49.002,49.01,48.9637,48.965,30265
42,48.9975,49.01,48.97,49.01,26999
43,49.013,49.03,48.995,48.995,32464
44,49.025,49.05,49.015,49.02,40646
45,49.01,49.045,49.01,49.03,47441
46,49,49.02,49,49.01,60000
47,49.0049,49.01,49,49.0025,17998
48,48.96,49.0051,48.96,49,42284
49,48.959,48.9725,48.95,48.965,27304
50,48.96,48.97,48.95,48.96,72173
51,48.915,48.9555,48.91,48.955,51428
52,48.915,48.93,48.9,48.93,60574
53,48.89,48.93,48.88,48.92,29367
54,48.91,48.92,48.88,48.8888,26012
55,48.925,48.94,48.9075,48.91,23124
56,48.9201,48.93,48.92,48.93,14124
57,48.94,48.94,48.92,48.93,20613
58,48.93,48.94,48.93,48.93,17792
59,48.88,48.9275,48.88,48.9275,52802
60,48.82,48.88,48.82,48.88,103104
61,48.755,48.825,48.74,48.82,114115
62,48.77,48.8,48.76,48.77,126391
63,48.76,48.78,48.74,48.77,109780
64,48.73,48.78,48.72,48.76,45462
65,48.75,48.752,48.69,48.7399,75404
66,48.72,48.76,48.71,48.75,99331
67,48.75,48.75,48.71,48.7299,47058
68,48.7426,48.75,48.722,48.75,51322
69,48.74,48.76,48.73,48.75,81409
70,48.74,48.75,48.74,48.75,25335
71,48.74,48.75,48.73,48.74,43703
72,48.73,48.74,48.71,48.735,68518
73,48.73,48.73,48.72,48.73,27456
74,48.715,48.73,48.71,48.722,27492
75,48.73,48.73,48.71,48.715,53946
76,48.705,48.74,48.7,48.73,103123
77,48.67,48.71,48.67,48.7051,99394
78,48.71,48.71,48.675,48.68,75994
79,48.695,48.71,48.685,48.705,38733
80,48.7,48.71,48.66,48.695,62021
81,48.69,48.71,48.685,48.705,50307
82,48.69,48.7,48.68,48.69,36904
83,48.655,48.7,48.65,48.685,41296
84,48.66,48.67,48.64,48.66,24718
85,48.71,48.72,48.66,48.66,82740
86,48.7,48.72,48.7,48.7,22387
87,48.7,48.71,48.68,48.705,23798
88,48.73,48.77,48.7,48.71,135635
89,48.71,48.74,48.71,48.735,59397
90,48.7,48.73,48.69,48.72,43985
91,48.7,48.7151,48.695,48.7,21642
92,48.69,48.71,48.69,48.7,30065
93,48.7,48.7,48.69,48.6978,25705
94,48.69,48.71,48.68,48.7,60910
95,48.68,48.7,48.67,48.695,18599
96,48.7,48.71,48.69,48.69,26075
97,48.7201,48.74,48.7,48.705,69538
98,48.71,48.73,48.7,48.72,40745
99,48.73,48.74,48.7,48.71,48195
100,48.74,48.75,48.73,48.7303,29316
101,48.731,48.75,48.72,48.745,51606
102,48.745,48.75,48.73,48.735,22309
103,48.76,48.76,48.74,48.75,43633
104,48.73,48.76,48.72,48.76,33556
105,48.75,48.75,48.73,48.73,16976
106,48.73,48.75,48.73,48.75,11565
107,48.72,48.735,48.72,48.73,29875
108,48.71,48.715,48.7,48.7141,25788
109,48.71,48.72,48.71,48.72,8981
110,48.73,48.73,48.71,48.71,16030
111,48.6943,48.7299,48.69,48.7299,44017
112,48.68,48.7,48.68,48.7,41139
113,48.72,48.73,48.6775,48.68,67064
114,48.73,48.74,48.71,48.7225,25891
115,48.72,48.73,48.7,48.73,48323
116,48.71,48.72,48.71,48.71,10787
117,48.75,48.75,48.71,48.72,61633
118,48.7801,48.79,48.735,48.74,57788
119,48.81,48.82,48.785,48.789,64017
120,48.8,48.81,48.775,48.8,30083
121,48.83,48.83,48.79,48.791,35705
122,48.84,48.84,48.81,48.82,51419
123,48.88,48.9,48.835,48.84,94020
124,48.89,48.9,48.88,48.8871,41088
125,48.89,48.91,48.88,48.89,53774
126,48.89,48.91,48.88,48.89,18886
127,48.9099,48.91,48.89,48.8957,24576
128,48.92,48.92,48.9,48.905,23907
129,48.935,48.94,48.91,48.91,44775
130,48.945,48.96,48.935,48.94,79443
131,48.94,48.96,48.94,48.9401,39705
132,48.8857,48.93,48.8857,48.93,51264
133,48.8911,48.91,48.885,48.89,18121
134,48.88,48.9,48.88,48.8946,12704
135,48.89,48.89,48.87,48.89,38434
136,48.89,48.9,48.8849,48.8849,7551
137,48.9,48.9,48.882,48.895,21504
138,48.885,48.9,48.86,48.9,48434
139,48.89,48.9,48.879,48.89,15615
140,48.89,48.89,48.872,48.89,15194
141,48.88,48.89,48.87,48.885,49989
142,48.85,48.8851,48.85,48.88,37655
143,48.86,48.88,48.85,48.86,24752
144,48.86,48.88,48.85,48.86,23885
145,48.875,48.88,48.86,48.86,8053
146,48.88,48.88,48.87,48.88,0
147,48.88,48.88,48.86,48.88,0
148,48.85,48.87,48.85,48.87,0
149,48.85,48.86,48.839,48.84,0
150,48.855,48.87,48.83,48.84,0
151,48.86,48.87,48.85,48.855,0
152,48.87,48.87,48.85,48.85,0
153,48.87,48.87,48.87,48.87,0
154,48.84,48.86,48.84,48.86,0
155,48.82,48.84,48.82,48.84,0
156,48.79,48.825,48.78,48.825,0
157,48.79,48.805,48.78,48.8,0
158,48.77,48.78,48.77,48.78,0
159,48.751,48.77,48.751,48.77,0
